,STATENAME,ACTIVITY LEVEL,WEEK,SEASON
3082,West Virginia,3,4,2016
3083,West Virginia,4,5,2016
3084,West Virginia,4,6,2016
3085,West Virginia,6,7,2016
3086,West Virginia,5,8,2016
3087,West Virginia,5,9,2016
3088,West Virginia,4,10,2016
3089,West Virginia,5,11,2016
3090,West Virginia,4,12,2016
3091,West Virginia,3,13,2016
3092,West Virginia,1,14,2016
3093,West Virginia,1,15,2016
3094,West Virginia,1,16,2016
3095,West Virginia,1,17,2016
3096,West Virginia,1,18,2016
3097,West Virginia,1,19,2016
3098,West Virginia,1,20,2016
3099,West Virginia,1,21,2016
3100,West Virginia,1,22,2016
3101,West Virginia,1,23,2016
3102,West Virginia,1,24,2016
3103,West Virginia,1,25,2016
3104,West Virginia,1,26,2016
3105,West Virginia,1,27,2016
3106,West Virginia,1,28,2016
3107,West Virginia,1,29,2016
3108,West Virginia,1,30,2016
3109,West Virginia,1,31,2016
3110,West Virginia,1,32,2016
3111,West Virginia,1,33,2016
3112,West Virginia,1,34,2016
3113,West Virginia,1,35,2016
3114,West Virginia,1,36,2016
3115,West Virginia,1,37,2016
3116,West Virginia,1,38,2016
3117,West Virginia,1,39,2016
3118,Virginia,1,40,2016
3119,Virginia,2,41,2016
3120,Virginia,2,42,2016
3121,Virginia,2,43,2016
3122,Virginia,3,44,2016
3123,Virginia,3,45,2016
3124,Virginia,3,46,2016
3125,Virginia,4,47,2016
3126,Virginia,3,48,2016
3127,Virginia,3,49,2016
3128,Virginia,4,50,2016
3129,Virginia,5,51,2016
3130,Virginia,7,52,2016
3131,Virginia,6,1,2016
3132,Virginia,7,2,2016
3133,Virginia,6,3,2016
3134,Virginia,7,4,2016
3135,Virginia,8,5,2016
3136,Virginia,10,6,2016
3137,Virginia,10,7,2016
3138,Virginia,10,8,2016
3139,Virginia,9,9,2016
3140,Virginia,8,10,2016
3141,Virginia,8,11,2016
3142,Virginia,8,12,2016
3143,Virginia,8,13,2016
3144,Virginia,5,14,2016
3145,Virginia,3,15,2016
3146,Virginia,1,16,2016
3147,Virginia,1,17,2016
3148,Virginia,1,18,2016
3149,Virginia,1,19,2016
3150,Virginia,1,20,2016
3151,Virginia,1,21,2016
3152,Virginia,1,22,2016
3153,Virginia,1,23,2016
3154,Virginia,1,24,2016
3155,Virginia,1,25,2016
3156,Virginia,1,26,2016
3157,Virginia,1,27,2016
3158,Virginia,1,28,2016
3159,Virginia,1,29,2016
3160,Virginia,1,30,2016
3161,Virginia,1,31,2016
3162,Virginia,1,32,2016
3163,Virginia,1,33,2016
3164,Virginia,1,34,2016
3165,Virginia,1,35,2016
3166,Virginia,1,36,2016
3167,Virginia,1,37,2016
3168,Virginia,1,38,2016
3169,Virginia,1,39,2016
3170,South Dakota,1,39,2016
3171,South Dakota,1,38,2016
3172,South Dakota,1,37,2016
3173,South Dakota,1,36,2016
3174,South Dakota,1,35,2016
3175,South Dakota,1,34,2016
3176,South Dakota,1,33,2016
3177,South Dakota,1,32,2016
3178,South Dakota,1,31,2016
3179,South Dakota,1,30,2016
3180,South Dakota,1,29,2016
3181,South Dakota,1,28,2016
3182,South Dakota,1,27,2016
3183,South Dakota,1,26,2016
3184,South Dakota,1,25,2016
3185,South Dakota,1,24,2016
3186,South Dakota,1,23,2016
3187,South Dakota,1,22,2016
3188,South Dakota,1,21,2016
3189,South Dakota,1,20,2016
3190,South Dakota,1,19,2016
3191,South Dakota,1,18,2016
3192,South Dakota,1,17,2016
3193,South Dakota,1,16,2016
3194,South Dakota,2,15,2016
3195,South Dakota,3,14,2016
3196,South Dakota,3,13,2016
3197,South Dakota,3,12,2016
3198,South Dakota,5,11,2016
3199,South Dakota,5,10,2016
3200,South Dakota,5,9,2016
3201,South Dakota,8,8,2016
3202,South Dakota,10,7,2016
3203,South Dakota,10,6,2016
3204,South Dakota,10,5,2016
3205,South Dakota,7,4,2016
3206,South Dakota,5,3,2016
3207,South Dakota,3,2,2016
3208,South Dakota,2,1,2016
3209,South Dakota,1,52,2016
3210,South Dakota,1,51,2016
3211,South Dakota,1,50,2016
3212,South Dakota,1,49,2016
3213,South Dakota,1,48,2016
3214,South Dakota,1,47,2016
3215,South Dakota,1,46,2016
3216,South Dakota,1,45,2016
3217,South Dakota,1,44,2016
3218,South Dakota,1,43,2016
3219,South Dakota,1,42,2016
3220,South Dakota,1,41,2016
3221,South Dakota,1,40,2016
3222,Texas,1,39,2016
3223,Texas,1,38,2016
3224,Texas,1,37,2016
3225,Texas,1,36,2016
3226,Texas,1,35,2016
3227,Texas,1,34,2016
3228,Texas,1,33,2016
3229,Texas,1,32,2016
3230,Texas,1,31,2016
3231,Texas,1,30,2016
3232,Texas,1,29,2016
3233,Texas,1,28,2016
3234,Texas,1,27,2016
3235,Texas,1,26,2016
3236,Texas,1,25,2016
3237,Texas,1,24,2016
3238,Texas,1,23,2016
3239,Texas,1,22,2016
3240,Texas,1,21,2016
3241,Texas,1,20,2016
3242,Texas,1,19,2016
3243,Texas,1,18,2016
3244,Texas,1,17,2016
3245,Texas,1,16,2016
3246,Texas,1,15,2016
3247,Texas,1,14,2016
3248,Texas,1,13,2016
3249,Texas,3,12,2016
3250,Texas,6,11,2016
3251,Texas,10,10,2016
3252,Texas,10,9,2016
3253,Texas,10,8,2016
3254,Texas,10,7,2016
3255,Texas,10,6,2016
3256,Texas,10,5,2016
3257,Texas,8,4,2016
3258,Texas,5,3,2016
3259,Texas,4,2,2016
3260,Texas,1,1,2016
3261,Texas,1,52,2016
3262,Texas,1,51,2016
3263,Texas,1,50,2016
3264,Texas,1,49,2016
3265,Texas,1,48,2016
3266,Texas,1,47,2016
3267,Texas,1,46,2016
3268,Texas,1,45,2016
3269,Texas,1,44,2016
